round,player_name,player_value,bid,is_winner,final_price,profit,experiment_name,version,model,service_name,temperature,number_agents,total_rounds,seal_clock,price_order,private_value,increment,seed_base,special_name,timestamp,repetition_id,plan
0,Bidder Andy,20,18.0,False,44.9,0,fpsb_ipv,V10,gpt-4o,openai,0.5,3,1,seal,first,private,0.1,1299,private_first_price.txt,2026-01-12_21-59-13-724783,21-59-13-750880,"Bid slightly below value to ensure potential profit. With no history, assume others bid near their value. Bid $18 to balance winning chances and profit margin, considering potential overbidding by others."
0,Bidder Betty,29,15.0,False,44.9,0,fpsb_ipv,V10,gpt-4o,openai,0.5,3,1,seal,first,private,0.1,1299,private_first_price.txt,2026-01-12_21-59-13-724783,21-59-13-750880,"Bid slightly above half my value to balance profit potential and winning chances. My value is $29, so bid $15 to maximize profit while maintaining competitiveness."
0,Bidder Charles,45,44.9,True,44.9,0.10000000000000142,fpsb_ipv,V10,gpt-4o,openai,0.5,3,1,seal,first,private,0.1,1299,private_first_price.txt,2026-01-12_21-59-13-724783,21-59-13-750880,"Bid slightly below my value to increase profit if I win. Given my value is $45, I'll bid $44.9 to maximize the chance of winning while ensuring a positive profit margin."
0,Bidder Andy,23,22.9,True,22.9,0.10000000000000142,fpsb_ipv,V10,gpt-4o,openai,0.5,3,1,seal,first,private,0.1,1299,private_first_price.txt,2026-01-12_21-59-13-724783,21-59-47-787120,"Bid slightly below my private value to ensure potential profit. Aim for $22.9 to balance winning chances and profit, considering other bidders may bid close to their values."
0,Bidder Betty,18,15.0,False,22.9,0,fpsb_ipv,V10,gpt-4o,openai,0.5,3,1,seal,first,private,0.1,1299,private_first_price.txt,2026-01-12_21-59-13-724783,21-59-47-787120,"Given my value of $18, I should bid slightly lower to ensure potential profit if I win. A bid of $15 maximizes the chance of winning while maintaining a profit margin, considering bids are independent and values are unknown."
0,Bidder Charles,25,13.0,False,22.9,0,fpsb_ipv,V10,gpt-4o,openai,0.5,3,1,seal,first,private,0.1,1299,private_first_price.txt,2026-01-12_21-59-13-724783,21-59-47-787120,"Bid slightly above half my value to balance winning chances and profit. With a value of $25, bid $13 to maximize potential profit while minimizing loss if winning. This strategy considers no previous rounds for reference."
0,Bidder Andy,27,25.0,False,26.0,0,fpsb_ipv,V10,gpt-4o,openai,0.5,3,1,seal,first,private,0.1,1299,private_first_price.txt,2026-01-12_21-59-13-724783,22-01-03-423927,"Bid slightly below my value to maximize profit if won, while remaining competitive. Aim for a bid around $25 to increase the chances of winning without exceeding my value of $27."
0,Bidder Betty,31,26.0,True,26.0,5.0,fpsb_ipv,V10,gpt-4o,openai,0.5,3,1,seal,first,private,0.1,1299,private_first_price.txt,2026-01-12_21-59-13-724783,22-01-03-423927,Bid slightly above the average value ($24.5) to maximize profit while maintaining a good chance of winning. Aim for a bid of $26 to balance winning probability and profit margin.
0,Bidder Charles,20,15.0,False,26.0,0,fpsb_ipv,V10,gpt-4o,openai,0.5,3,1,seal,first,private,0.1,1299,private_first_price.txt,2026-01-12_21-59-13-724783,22-01-03-423927,"My value is $20. To maximize profit, I will bid slightly lower than my value to avoid overpaying. Bidding $15 balances winning chances and profit potential, considering opponents may bid close to their values."
0,Bidder Andy,30,29.5,False,35.0,0,fpsb_ipv,V10,gpt-4o,openai,0.5,3,1,seal,first,private,0.1,1299,private_first_price.txt,2026-01-12_21-59-13-724783,22-01-14-061100,"Bid slightly below my value to maximize profit if I win. Since values are random, bid $29.5 to outcompete cautious bidders while ensuring profit if I win."
0,Bidder Betty,7,6.9,False,35.0,0,fpsb_ipv,V10,gpt-4o,openai,0.5,3,1,seal,first,private,0.1,1299,private_first_price.txt,2026-01-12_21-59-13-724783,22-01-14-061100,"With a low private value of $7, bid conservatively to avoid a loss. Bid slightly below the value to minimize potential losses, since winning is not profitable unless the bid is lower than the value. Aim for a bid of $6.9 to strategically minimize loss."
0,Bidder Charles,36,35.0,True,35.0,1.0,fpsb_ipv,V10,gpt-4o,openai,0.5,3,1,seal,first,private,0.1,1299,private_first_price.txt,2026-01-12_21-59-13-724783,22-01-14-061100,"Bid slightly below value to maximize profit if won. Given no history, assume others bid near their value. Bid $35 to balance winning chances and profit margin."
0,Bidder Andy,25,24.8,False,37.0,0,fpsb_ipv,V10,gpt-4o,openai,0.5,3,1,seal,first,private,0.1,1299,private_first_price.txt,2026-01-12_21-59-13-724783,22-04-26-658073,"To maximize profit, bid slightly below value to increase chances of winning without overpaying. With value $25, bid $24.8 to balance winning probability and profit margin."
0,Bidder Betty,17,15.0,False,37.0,0,fpsb_ipv,V10,gpt-4o,openai,0.5,3,1,seal,first,private,0.1,1299,private_first_price.txt,2026-01-12_21-59-13-724783,22-04-26-658073,"Bid slightly below my value to maximize potential profit if I win. Since it's the only round, prioritize winning but avoid overbidding. Bid $15 to balance between winning and maximizing profit."
0,Bidder Charles,39,37.0,True,37.0,2.0,fpsb_ipv,V10,gpt-4o,openai,0.5,3,1,seal,first,private,0.1,1299,private_first_price.txt,2026-01-12_21-59-13-724783,22-04-26-658073,"Bid slightly below my value to maximize profit if I win. Since values are independent, aim for a competitive bid around $37 to increase chances of winning without risking overpayment."
0,Bidder Andy,10,5.0,False,29.9,0,fpsb_ipv,V10,gpt-4o,openai,0.5,3,1,seal,first,private,0.1,1299,private_first_price.txt,2026-01-12_21-59-13-724783,22-05-09-833077,Bid low since my private value is $10. Aim to bid less than or equal to my value to avoid a loss. Bid $5 to potentially win with profit if others bid lower or tie.
0,Bidder Betty,30,29.9,True,29.9,0.10000000000000142,fpsb_ipv,V10,gpt-4o,openai,0.5,3,1,seal,first,private,0.1,1299,private_first_price.txt,2026-01-12_21-59-13-724783,22-05-09-833077,"Bid slightly below my value to maximize profit if I win, while maintaining competitiveness. Given no history, assume others bid near their values. Bid $29.9 to have a chance to win without exceeding my value."
0,Bidder Charles,25,13.0,False,29.9,0,fpsb_ipv,V10,gpt-4o,openai,0.5,3,1,seal,first,private,0.1,1299,private_first_price.txt,2026-01-12_21-59-13-724783,22-05-09-833077,"Bid slightly above half my value to balance winning chances and profit. With a value of $25, bid $13 to maximize potential profit while minimizing loss if winning. This strategy considers no previous rounds for reference."
0,Bidder Andy,30,29.5,False,33.0,0,fpsb_ipv,V10,gpt-4o,openai,0.5,3,1,seal,first,private,0.1,1299,private_first_price.txt,2026-01-12_21-59-13-724783,22-08-12-484158,"Bid slightly below my value to maximize profit if I win. Since values are random, bid $29.5 to outcompete cautious bidders while ensuring profit if I win."
0,Bidder Betty,35,33.0,True,33.0,2.0,fpsb_ipv,V10,gpt-4o,openai,0.5,3,1,seal,first,private,0.1,1299,private_first_price.txt,2026-01-12_21-59-13-724783,22-08-12-484158,"Bid slightly below my value to maximize profit if I win. Since there's no history, assume others bid around their value. Bid $33 to balance winning chances and profit."
0,Bidder Charles,6,5.9,False,33.0,0,fpsb_ipv,V10,gpt-4o,openai,0.5,3,1,seal,first,private,0.1,1299,private_first_price.txt,2026-01-12_21-59-13-724783,22-08-12-484158,"Given my low private value of $6, I will bid conservatively to avoid a loss. I will bid below my value to ensure I don't overpay, aiming for a bid of $5.9 to potentially win if others undervalue the prize."
0,Bidder Andy,36,34.0,False,42.0,0,fpsb_ipv,V10,gpt-4o,openai,0.5,3,1,seal,first,private,0.1,1299,private_first_price.txt,2026-01-12_21-59-13-724783,22-09-03-225599,Bid slightly below my value to maximize profit if I win. Aim to outbid others but avoid overbidding. Set bid around $34 to balance winning chances and profit margin.
0,Bidder Betty,8,4.5,False,42.0,0,fpsb_ipv,V10,gpt-4o,openai,0.5,3,1,seal,first,private,0.1,1299,private_first_price.txt,2026-01-12_21-59-13-724783,22-09-03-225599,"With a low value of $8, bid conservatively to avoid losses. Bid slightly above half the value to potentially win if others undervalue their bids. Aim to minimize loss if not winning."
0,Bidder Charles,44,42.0,True,42.0,2.0,fpsb_ipv,V10,gpt-4o,openai,0.5,3,1,seal,first,private,0.1,1299,private_first_price.txt,2026-01-12_21-59-13-724783,22-09-03-225599,"To maximize profit, bid slightly below my private value to ensure a win while maintaining a profit margin. Bid $42 to increase the likelihood of winning against random bids between $0-$49, aiming for a profit of $2 if successful."
0,Bidder Andy,31,28.5,False,34.0,0,fpsb_ipv,V10,gpt-4o,openai,0.5,3,1,seal,first,private,0.1,1299,private_first_price.txt,2026-01-12_21-59-13-724783,22-11-19-908721,Bid slightly below my value to maximize profit if I win. Aim to outbid others while maintaining a positive profit. Randomly choose a bid between $25 and $30 to balance winning chances and profitability.
0,Bidder Betty,37,34.0,True,34.0,3.0,fpsb_ipv,V10,gpt-4o,openai,0.5,3,1,seal,first,private,0.1,1299,private_first_price.txt,2026-01-12_21-59-13-724783,22-11-19-908721,"Bid slightly below my value to maximize profit if I win. Since this is the only round, aim for a competitive bid that balances winning chances and profit. Bid $34 to leave room for profit while still being competitive."
0,Bidder Charles,11,5.0,False,34.0,0,fpsb_ipv,V10,gpt-4o,openai,0.5,3,1,seal,first,private,0.1,1299,private_first_price.txt,2026-01-12_21-59-13-724783,22-11-19-908721,"Given my value is $11, I will bid conservatively below my value to avoid a loss. I'll bid $5 to potentially win at a profit if others bid low or to minimize loss if I lose."
0,Bidder Andy,31,28.5,False,45.0,0,fpsb_ipv,V10,gpt-4o,openai,0.5,3,1,seal,first,private,0.1,1299,private_first_price.txt,2026-01-12_21-59-13-724783,22-13-46-286532,Bid slightly below my value to maximize profit if I win. Aim to outbid others while maintaining a positive profit. Randomly choose a bid between $25 and $30 to balance winning chances and profitability.
0,Bidder Betty,31,26.0,False,45.0,0,fpsb_ipv,V10,gpt-4o,openai,0.5,3,1,seal,first,private,0.1,1299,private_first_price.txt,2026-01-12_21-59-13-724783,22-13-46-286532,Bid slightly above the average value ($24.5) to maximize profit while maintaining a good chance of winning. Aim for a bid of $26 to balance winning probability and profit margin.
0,Bidder Charles,46,45.0,True,45.0,1.0,fpsb_ipv,V10,gpt-4o,openai,0.5,3,1,seal,first,private,0.1,1299,private_first_price.txt,2026-01-12_21-59-13-724783,22-13-46-286532,"Bid slightly below my value to ensure potential profit. Aim for $45 to win while keeping a $1 profit margin, considering the competitive nature and random bids of others."
0,Bidder Andy,15,10.0,False,40.0,0,fpsb_ipv,V10,gpt-4o,openai,0.5,3,1,seal,first,private,0.1,1299,private_first_price.txt,2026-01-12_21-59-13-724783,22-14-05-620462,"Bid conservatively below private value to avoid loss. Given the value of $15, bid slightly lower to maximize potential profit while minimizing risk. Aim for $10 to balance winning chances and profit."
0,Bidder Betty,36,35.0,False,40.0,0,fpsb_ipv,V10,gpt-4o,openai,0.5,3,1,seal,first,private,0.1,1299,private_first_price.txt,2026-01-12_21-59-13-724783,22-14-05-620462,"Bid slightly below my value to increase chances of winning while ensuring profit. I will bid $35, maximizing potential profit of $1 if I win. This balances competitiveness and profitability given no prior bidding history."
0,Bidder Charles,42,40.0,True,40.0,2.0,fpsb_ipv,V10,gpt-4o,openai,0.5,3,1,seal,first,private,0.1,1299,private_first_price.txt,2026-01-12_21-59-13-724783,22-14-05-620462,"Bid slightly below my value to maximize profit if I win. Since values are independent each round, aim to bid $40 to balance winning chances and profit margin."
0,Bidder Andy,9,8.5,False,19.9,0,fpsb_ipv,V10,gpt-4o,openai,0.5,3,1,seal,first,private,0.1,1299,private_first_price.txt,2026-01-12_21-59-13-724783,22-16-24-697426,"Given my value of $9, bid conservatively to avoid losses. Bid slightly below my value to maximize profit if I win, while minimizing risk of overbidding."
0,Bidder Betty,20,19.9,True,19.9,0.10000000000000142,fpsb_ipv,V10,gpt-4o,openai,0.5,3,1,seal,first,private,0.1,1299,private_first_price.txt,2026-01-12_21-59-13-724783,22-16-24-697426,"Bid slightly below my value to increase the chance of winning while ensuring profit. Aim for a competitive bid that balances winning and profitability, considering opponent bids are unknown. Bid $19.9 to maximize potential earnings, ensuring a small profit if successful."
0,Bidder Charles,20,15.0,False,19.9,0,fpsb_ipv,V10,gpt-4o,openai,0.5,3,1,seal,first,private,0.1,1299,private_first_price.txt,2026-01-12_21-59-13-724783,22-16-24-697426,"My value is $20. To maximize profit, I will bid slightly lower than my value to avoid overpaying. Bidding $15 balances winning chances and profit potential, considering opponents may bid close to their values."
0,Bidder Andy,35,34.0,False,47.9,0,fpsb_ipv,V10,gpt-4o,openai,0.5,3,1,seal,first,private,0.1,1299,private_first_price.txt,2026-01-12_21-59-13-724783,22-18-41-558950,"Bid slightly below my value to maximize profit if won, while staying competitive. Since values are random, aim for $34 to balance winning chances and profit margin."
0,Bidder Betty,32,30.0,False,47.9,0,fpsb_ipv,V10,gpt-4o,openai,0.5,3,1,seal,first,private,0.1,1299,private_first_price.txt,2026-01-12_21-59-13-724783,22-18-41-558950,"Bid slightly below my value to maximize profit if I win. Avoid bidding too high to prevent loss. With no history, assume average competition and bid $30 to balance winning chances and profit margin."
0,Bidder Charles,48,47.9,True,47.9,0.10000000000000142,fpsb_ipv,V10,gpt-4o,openai,0.5,3,1,seal,first,private,0.1,1299,private_first_price.txt,2026-01-12_21-59-13-724783,22-18-41-558950,"Bid slightly below my value to maximize profit if I win. Given my value of $48, I'll bid $47.9 to increase chances of winning against others who may bid close to their values."
0,Bidder Andy,39,35.0,True,35.0,4.0,fpsb_ipv,V10,gpt-4o,openai,0.5,3,1,seal,first,private,0.1,1299,private_first_price.txt,2026-01-12_21-59-13-724783,22-19-01-524334,"Bid slightly below my value to maximize profit if I win. Given no history, assume average competition. Bid $35 to balance winning chances and profit margin."
0,Bidder Betty,27,25.0,False,35.0,0,fpsb_ipv,V10,gpt-4o,openai,0.5,3,1,seal,first,private,0.1,1299,private_first_price.txt,2026-01-12_21-59-13-724783,22-19-01-524334,"To maximize profit, bid slightly below my value to increase chances of winning while ensuring profit. Bid $25, balancing competitiveness and gain."
0,Bidder Charles,13,12.0,False,35.0,0,fpsb_ipv,V10,gpt-4o,openai,0.5,3,1,seal,first,private,0.1,1299,private_first_price.txt,2026-01-12_21-59-13-724783,22-19-01-524334,"Place a bid slightly below my value to avoid overpaying, ensuring a small positive profit if I win. Bid $12 to potentially win without exceeding my value, maximizing profit."
0,Bidder Andy,25,24.9,True,24.9,0.10000000000000142,fpsb_ipv,V10,gpt-4o,openai,0.5,3,1,seal,first,private,0.1,1299,private_first_price.txt,2026-01-12_21-59-13-724783,22-21-18-987056,Bid slightly below value to maximize profit if winning. Set bid at $24.9 to outbid conservative bidders but avoid overbidding. This approach balances winning probability and profit margin.
0,Bidder Betty,3,0.5,False,24.9,0,fpsb_ipv,V10,gpt-4o,openai,0.5,3,1,seal,first,private,0.1,1299,private_first_price.txt,2026-01-12_21-59-13-724783,22-21-18-987056,"Since my private value is $3, bidding more than this would result in a loss if I win. To maximize profit, I should bid below my value, minimizing potential losses. I will bid $0.5 to avoid overbidding and losing more."
0,Bidder Charles,26,24.0,False,24.9,0,fpsb_ipv,V10,gpt-4o,openai,0.5,3,1,seal,first,private,0.1,1299,private_first_price.txt,2026-01-12_21-59-13-724783,22-21-18-987056,"Bid slightly lower than my value to ensure potential profit if won. Aim for competitive bid to balance winning chances and profit maximization. Bid $24 to maximize profit if I win, assuming others bid close to their values."
0,Bidder Andy,13,12.9,False,45.0,0,fpsb_ipv,V10,gpt-4o,openai,0.5,3,1,seal,first,private,0.1,1299,private_first_price.txt,2026-01-12_21-59-13-724783,22-24-34-496940,"Given my value is $13, I'll bid slightly below my value to ensure a potential profit if I win. A bid of $12.9 balances competitiveness and profit potential, considering random draws for others."
0,Bidder Betty,15,8.0,False,45.0,0,fpsb_ipv,V10,gpt-4o,openai,0.5,3,1,seal,first,private,0.1,1299,private_first_price.txt,2026-01-12_21-59-13-724783,22-24-34-496940,"Bid slightly above half my value to balance winning chances and profit. With a value of $15, bid $8. This minimizes loss if I win and maximizes profit potential, considering unknown bids from Andy and Charles."
0,Bidder Charles,47,45.0,True,45.0,2.0,fpsb_ipv,V10,gpt-4o,openai,0.5,3,1,seal,first,private,0.1,1299,private_first_price.txt,2026-01-12_21-59-13-724783,22-24-34-496940,"Bid slightly below my value to maximize profit while maintaining a competitive edge. Given my value of $47, bid $45 to ensure a good chance of winning without risking overpayment. This balances the likelihood of winning against potential profit."
0,Bidder Andy,39,35.0,True,35.0,4.0,fpsb_ipv,V10,gpt-4o,openai,0.5,3,1,seal,first,private,0.1,1299,private_first_price.txt,2026-01-12_21-59-13-724783,22-25-17-085451,"Bid slightly below my value to maximize profit if I win. Given no history, assume average competition. Bid $35 to balance winning chances and profit margin."
0,Bidder Betty,20,19.9,False,35.0,0,fpsb_ipv,V10,gpt-4o,openai,0.5,3,1,seal,first,private,0.1,1299,private_first_price.txt,2026-01-12_21-59-13-724783,22-25-17-085451,"Bid slightly below my value to increase the chance of winning while ensuring profit. Aim for a competitive bid that balances winning and profitability, considering opponent bids are unknown. Bid $19.9 to maximize potential earnings, ensuring a small profit if successful."
