round,player_name,player_value,bid,is_winner,final_price,profit,experiment_name,version,model,service_name,temperature,number_agents,total_rounds,seal_clock,price_order,private_value,increment,seed_base,special_name,timestamp,repetition_id,plan
0,Bidder Andy,20,11.0,False,27.5,0,loss_aversion_mixed_frame,V12,gpt-4o,openai,0.5,3,1,seal,second,private,0.1,1299,loss_aversion_mixed_frame.txt,2026-01-26_21-27-21-787337,21-27-21-795363,Bid slightly above half my value to maximize potential profit while minimizing loss. Aim to win only if opponents undervalue their bids. Bid $11 to balance risk and reward.
0,Bidder Betty,29,27.5,False,27.5,0,loss_aversion_mixed_frame,V12,gpt-4o,openai,0.5,3,1,seal,second,private,0.1,1299,loss_aversion_mixed_frame.txt,2026-01-26_21-27-21-787337,21-27-21-795363,"Bid slightly below my value to maximize potential profit while minimizing loss. Aim to outbid others but avoid overpaying. Since it's a single round, prioritize winning with a balance between competitiveness and profit. Bid $27.5 to ensure a margin for profit if I win."
0,Bidder Charles,45,41.0,True,27.5,17.5,loss_aversion_mixed_frame,V12,gpt-4o,openai,0.5,3,1,seal,second,private,0.1,1299,loss_aversion_mixed_frame.txt,2026-01-26_21-27-21-787337,21-27-21-795363,"Bid slightly below my value to maximize profit while increasing chances of winning. Given no history, assume average competition bids around $24. Aim to win with a bid of $41, ensuring profit if second-highest bid is lower."
0,Bidder Andy,23,22.0,True,17.9,5.100000000000001,loss_aversion_mixed_frame,V12,gpt-4o,openai,0.5,3,1,seal,second,private,0.1,1299,loss_aversion_mixed_frame.txt,2026-01-26_21-27-21-787337,21-27-36-101845,"Bid slightly below my value to maximize profit if I win. Aim for $22, minimizing loss if I lose while still having a good chance to win against random bids between $0-$49."
0,Bidder Betty,18,17.9,False,17.9,0,loss_aversion_mixed_frame,V12,gpt-4o,openai,0.5,3,1,seal,second,private,0.1,1299,loss_aversion_mixed_frame.txt,2026-01-26_21-27-21-787337,21-27-36-101845,Bid just below my value to potentially win if others undervalue. Aim to pay less than my value for profit. Bid $17.9 to maximize chances of winning while ensuring net gain if successful.
0,Bidder Charles,25,13.0,False,17.9,0,loss_aversion_mixed_frame,V12,gpt-4o,openai,0.5,3,1,seal,second,private,0.1,1299,loss_aversion_mixed_frame.txt,2026-01-26_21-27-21-787337,21-27-36-101845,"Bid slightly above half my value to maximize profit potential while minimizing loss risk. Given my value is $25, a bid around $13 should be competitive without overpaying if I win."
0,Bidder Andy,27,24.0,False,24.0,0,loss_aversion_mixed_frame,V12,gpt-4o,openai,0.5,3,1,seal,second,private,0.1,1299,loss_aversion_mixed_frame.txt,2026-01-26_21-27-21-787337,21-27-50-478944,"Bid slightly below my value to maximize potential profit while minimizing risk. Aim to win by outbidding expected average bids, around $24, balancing potential gain and loss."
0,Bidder Betty,31,26.0,True,24.0,7.0,loss_aversion_mixed_frame,V12,gpt-4o,openai,0.5,3,1,seal,second,private,0.1,1299,loss_aversion_mixed_frame.txt,2026-01-26_21-27-21-787337,21-27-50-478944,"Bid slightly above average to maximize profit, considering value is $31. Aim to outbid but not overpay, estimating competitors' bids around $25. Bid $26 to secure potential profit without excessive risk."
0,Bidder Charles,20,11.5,False,24.0,0,loss_aversion_mixed_frame,V12,gpt-4o,openai,0.5,3,1,seal,second,private,0.1,1299,loss_aversion_mixed_frame.txt,2026-01-26_21-27-21-787337,21-27-50-478944,"Bid slightly above half my value, $11, to maximize profit while minimizing risk. This balances potential gain with cost if I win. Given no history, assume others bid near their value. Aim to win without overpaying."
0,Bidder Andy,30,25.0,False,25.0,0,loss_aversion_mixed_frame,V12,gpt-4o,openai,0.5,3,1,seal,second,private,0.1,1299,loss_aversion_mixed_frame.txt,2026-01-26_21-27-21-787337,21-28-04-872072,"Bid slightly above average expected value to maximize profit while minimizing risk. Given my value is $30, bid around $25 to increase chances of winning without overpaying, assuming others bid near their values. This balances potential profit and reduces the loss if I win."
0,Bidder Betty,7,7.5,False,25.0,0,loss_aversion_mixed_frame,V12,gpt-4o,openai,0.5,3,1,seal,second,private,0.1,1299,loss_aversion_mixed_frame.txt,2026-01-26_21-27-21-787337,21-28-04-872072,"Given my value of $7, I will bid low to avoid overpaying, as the potential loss outweighs the gain. I aim to bid slightly above my value to deter low bids from others but still minimize loss if I win."
0,Bidder Charles,36,30.0,True,25.0,11.0,loss_aversion_mixed_frame,V12,gpt-4o,openai,0.5,3,1,seal,second,private,0.1,1299,loss_aversion_mixed_frame.txt,2026-01-26_21-27-21-787337,21-28-04-872072,"Bid slightly above the midpoint of $36 to increase winning chances while minimizing overpayment. Aim for $30, balancing potential profit if winning and minimizing loss if outbid."
0,Bidder Andy,23,22.0,False,22.0,0,loss_aversion_mixed_frame,V12,gpt-4o,openai,0.5,3,1,seal,second,private,0.1,1299,loss_aversion_mixed_frame.txt,2026-01-26_21-27-21-787337,21-28-19-181803,"Bid slightly below my value to maximize profit if I win. Aim for $22, minimizing loss if I lose while still having a good chance to win against random bids between $0-$49."
0,Bidder Betty,18,17.9,False,22.0,0,loss_aversion_mixed_frame,V12,gpt-4o,openai,0.5,3,1,seal,second,private,0.1,1299,loss_aversion_mixed_frame.txt,2026-01-26_21-27-21-787337,21-28-19-181803,Bid just below my value to potentially win if others undervalue. Aim to pay less than my value for profit. Bid $17.9 to maximize chances of winning while ensuring net gain if successful.
0,Bidder Charles,39,35.0,True,22.0,17.0,loss_aversion_mixed_frame,V12,gpt-4o,openai,0.5,3,1,seal,second,private,0.1,1299,loss_aversion_mixed_frame.txt,2026-01-26_21-27-21-787337,21-28-19-181803,"Bid slightly above average to balance winning chances and minimizing loss. Aim for $35, assuming others might bid around their average value of $24.50. This maximizes profit if I win and minimizes risk of overpaying."
0,Bidder Andy,25,13.0,False,15.0,0,loss_aversion_mixed_frame,V12,gpt-4o,openai,0.5,3,1,seal,second,private,0.1,1299,loss_aversion_mixed_frame.txt,2026-01-26_21-27-21-787337,21-28-34-384915,"My value is $25. To maximize profit, bid slightly above half, around $13. This balances winning chances and minimizes overpaying. Avoid bidding too high to prevent paying more than the item's worth."
0,Bidder Betty,17,15.0,False,15.0,0,loss_aversion_mixed_frame,V12,gpt-4o,openai,0.5,3,1,seal,second,private,0.1,1299,loss_aversion_mixed_frame.txt,2026-01-26_21-27-21-787337,21-28-34-384915,"I will bid slightly below my value to avoid overpaying. Given my value is $17, I'll bid $15 to balance potential profit and risk. This maximizes profit if competitors bid lower but limits loss if they bid higher."
0,Bidder Charles,39,35.0,True,15.0,24.0,loss_aversion_mixed_frame,V12,gpt-4o,openai,0.5,3,1,seal,second,private,0.1,1299,loss_aversion_mixed_frame.txt,2026-01-26_21-27-21-787337,21-28-34-384915,"Bid slightly above average to balance winning chances and minimizing loss. Aim for $35, assuming others might bid around their average value of $24.50. This maximizes profit if I win and minimizes risk of overpaying."
0,Bidder Andy,10,11.0,False,13.0,0,loss_aversion_mixed_frame,V12,gpt-4o,openai,0.5,3,1,seal,second,private,0.1,1299,loss_aversion_mixed_frame.txt,2026-01-26_21-27-21-787337,21-28-48-977080,Bid slightly above expected average to maximize profit. My value is $10; aim to win if others bid low. Bid $11 to cover possible low rival bids while minimizing loss risk.
0,Bidder Betty,30,25.0,True,13.0,17.0,loss_aversion_mixed_frame,V12,gpt-4o,openai,0.5,3,1,seal,second,private,0.1,1299,loss_aversion_mixed_frame.txt,2026-01-26_21-27-21-787337,21-28-48-977080,"Bid slightly above average expected bid to maximize chances of winning while ensuring profit. With value of $30, bid $25 to win if others bid lower. If I win, potential profit is $30 - second-highest bid."
0,Bidder Charles,25,13.0,False,13.0,0,loss_aversion_mixed_frame,V12,gpt-4o,openai,0.5,3,1,seal,second,private,0.1,1299,loss_aversion_mixed_frame.txt,2026-01-26_21-27-21-787337,21-28-48-977080,"Bid slightly above half my value to maximize profit potential while minimizing loss risk. Given my value is $25, a bid around $13 should be competitive without overpaying if I win."
0,Bidder Andy,30,25.0,False,25.0,0,loss_aversion_mixed_frame,V12,gpt-4o,openai,0.5,3,1,seal,second,private,0.1,1299,loss_aversion_mixed_frame.txt,2026-01-26_21-27-21-787337,21-29-03-601422,"Bid slightly above average expected value to maximize profit while minimizing risk. Given my value is $30, bid around $25 to increase chances of winning without overpaying, assuming others bid near their values. This balances potential profit and reduces the loss if I win."
0,Bidder Betty,35,30.0,True,25.0,10.0,loss_aversion_mixed_frame,V12,gpt-4o,openai,0.5,3,1,seal,second,private,0.1,1299,loss_aversion_mixed_frame.txt,2026-01-26_21-27-21-787337,21-29-03-601422,"Bid slightly below my value to maximize profit if I win. Since values are random, I'll bid $30 to balance winning chances and minimizing potential losses. This allows for a potential $5 profit if I win against a slightly lower bid."
0,Bidder Charles,6,1.0,False,25.0,0,loss_aversion_mixed_frame,V12,gpt-4o,openai,0.5,3,1,seal,second,private,0.1,1299,loss_aversion_mixed_frame.txt,2026-01-26_21-27-21-787337,21-29-03-601422,"Bid less than my value to avoid overpaying. Since my value is low ($6), bid $1 to minimize loss if I win. This avoids negative profit since winning would mean paying more than the prize's worth to me."
0,Bidder Andy,36,31.0,False,31.0,0,loss_aversion_mixed_frame,V12,gpt-4o,openai,0.5,3,1,seal,second,private,0.1,1299,loss_aversion_mixed_frame.txt,2026-01-26_21-27-21-787337,21-29-17-949683,Bid slightly above average ($25) to balance winning chances and minimizing loss. Aim for profit by winning with a bid lower than my value ($36) but higher than competitors' likely bids. Assume competitors bid around $24-$30.
0,Bidder Betty,8,3.0,False,31.0,0,loss_aversion_mixed_frame,V12,gpt-4o,openai,0.5,3,1,seal,second,private,0.1,1299,loss_aversion_mixed_frame.txt,2026-01-26_21-27-21-787337,21-29-17-949683,"Since my private value is $8, I should bid below this to avoid a loss. I will bid $3 to minimize risk, as winning with a higher bid would result in a net loss."
0,Bidder Charles,44,43.9,True,31.0,13.0,loss_aversion_mixed_frame,V12,gpt-4o,openai,0.5,3,1,seal,second,private,0.1,1299,loss_aversion_mixed_frame.txt,2026-01-26_21-27-21-787337,21-29-17-949683,"Bid just below my value to maximize profit if winning, while minimizing loss if losing. Bid $43.9 to outbid others likely bidding near their value but not risk overpaying."
0,Bidder Andy,31,27.0,False,27.0,0,loss_aversion_mixed_frame,V12,gpt-4o,openai,0.5,3,1,seal,second,private,0.1,1299,loss_aversion_mixed_frame.txt,2026-01-26_21-27-21-787337,21-29-32-347346,Bid slightly above average ($25) to maximize chance of winning while minimizing cost. Aim for $27 to balance potential gain ($31) and cost risk. This bid is strategic to outbid cautious bidders without overpaying.
0,Bidder Betty,37,35.0,True,27.0,10.0,loss_aversion_mixed_frame,V12,gpt-4o,openai,0.5,3,1,seal,second,private,0.1,1299,loss_aversion_mixed_frame.txt,2026-01-26_21-27-21-787337,21-29-32-347346,Bid slightly below my value to maximize profit if I win. Aim to outbid others without overpaying. A bid of $35 should balance winning chances and potential profit.
0,Bidder Charles,11,9.0,False,27.0,0,loss_aversion_mixed_frame,V12,gpt-4o,openai,0.5,3,1,seal,second,private,0.1,1299,loss_aversion_mixed_frame.txt,2026-01-26_21-27-21-787337,21-29-32-347346,"Given my value of $11, I will bid slightly below it to avoid overpaying if I win. The goal is to win only if the second-highest bid is low, ensuring a profit. I will bid $9 to maximize potential profit while minimizing potential loss."
0,Bidder Andy,31,27.0,False,27.0,0,loss_aversion_mixed_frame,V12,gpt-4o,openai,0.5,3,1,seal,second,private,0.1,1299,loss_aversion_mixed_frame.txt,2026-01-26_21-27-21-787337,21-29-46-635169,Bid slightly above average ($25) to maximize chance of winning while minimizing cost. Aim for $27 to balance potential gain ($31) and cost risk. This bid is strategic to outbid cautious bidders without overpaying.
0,Bidder Betty,31,26.0,False,27.0,0,loss_aversion_mixed_frame,V12,gpt-4o,openai,0.5,3,1,seal,second,private,0.1,1299,loss_aversion_mixed_frame.txt,2026-01-26_21-27-21-787337,21-29-46-635169,"Bid slightly above average to maximize profit, considering value is $31. Aim to outbid but not overpay, estimating competitors' bids around $25. Bid $26 to secure potential profit without excessive risk."
0,Bidder Charles,46,45.0,True,27.0,19.0,loss_aversion_mixed_frame,V12,gpt-4o,openai,0.5,3,1,seal,second,private,0.1,1299,loss_aversion_mixed_frame.txt,2026-01-26_21-27-21-787337,21-29-46-635169,Bid slightly below my value to maximize profit if I win. Aim to outbid others but not exceed my value. Set bid at $45 to ensure potential profit while minimizing loss risk.
0,Bidder Andy,15,10.0,False,35.5,0,loss_aversion_mixed_frame,V12,gpt-4o,openai,0.5,3,1,seal,second,private,0.1,1299,loss_aversion_mixed_frame.txt,2026-01-26_21-27-21-787337,21-30-01-058906,"My value is $15. To maximize profit, I'll bid slightly lower to avoid overpaying. I'll bid $10, aiming to win only if others bid below my value. This minimizes potential loss while allowing profit if I win."
0,Bidder Betty,36,35.5,False,35.5,0,loss_aversion_mixed_frame,V12,gpt-4o,openai,0.5,3,1,seal,second,private,0.1,1299,loss_aversion_mixed_frame.txt,2026-01-26_21-27-21-787337,21-30-01-058906,"Bid slightly below my value, $35.5, maximizing profit if winning. Avoid overbidding to reduce loss risk. This balances potential gains and losses effectively, considering no previous round data."
0,Bidder Charles,42,41.5,True,35.5,6.5,loss_aversion_mixed_frame,V12,gpt-4o,openai,0.5,3,1,seal,second,private,0.1,1299,loss_aversion_mixed_frame.txt,2026-01-26_21-27-21-787337,21-30-01-058906,"Bid slightly below my value to maximize profit if I win, while still having a competitive chance. Aim to outbid others without exceeding my value."
