Axis,Rank,Intervention,Is_Baseline,N,Mean_Bid_Ratio,Std_Bid_Ratio,Distance_from_Optimal,Mean_Bid_Shading
All,Baseline,SPSB Baseline,True,290,0.8294057975210583,0.22645423880950047,0.17059420247894175,0.17059420247894183
Contingent Reasoning,1,List Cases,False,290,0.8619249878419366,0.3180925909483683,0.1380750121580634,0.1380750121580634
Contingent Reasoning,2,Dominated Bid,False,290,0.839425623473824,0.22402541997024908,0.160574376526176,0.160574376526176
Contingent Reasoning,3,Worst Case,False,287,0.8011897468643083,0.2544285080512754,0.19881025313569167,0.19881025313569164
Forward Planning,1,Decision Tree,False,287,0.9666515867725748,0.0819744017366179,0.03334841322742521,0.03334841322742527
Forward Planning,2,Two-Stage OSP,False,287,0.9349012477228636,0.15359291250449375,0.06509875227713635,0.06509875227713646
Forward Planning,3,Backward Induct,False,290,0.8995776788071562,0.14054980800779632,0.10042232119284378,0.10042232119284382
Forward Planning,4,One-Step Look,False,290,0.8490297282363722,0.20666529949427592,0.15097027176362776,0.15097027176362765
Higher-Order Beliefs,1,Common Know,False,290,0.9132963060705963,0.16857658358564118,0.08670369392940369,0.0867036939294037
Higher-Order Beliefs,2,First-Order,False,287,0.8962970039796709,0.197021658717582,0.10370299602032906,0.10370299602032922
Higher-Order Beliefs,3,Rational Others,False,287,0.8455264030939541,0.21160812123249798,0.1544735969060459,0.15447359690604587
Higher-Order Beliefs,4,Second-Order,False,290,0.8301338938881564,0.24201237115027668,0.1698661061118436,0.16986610611184366
Loss Aversion,1,WTA vs WTP,False,290,0.9338829323376492,0.1361132603653904,0.06611706766235081,0.06611706766235094
Loss Aversion,2,Gain Frame,False,290,0.839018965560822,0.24701386553244636,0.160981034439178,0.16098103443917802
Loss Aversion,3,Loss Frame,False,287,0.7900930509070992,0.2365713037570382,0.20990694909290075,0.20990694909290067
Loss Aversion,4,Endowment,False,287,0.7897818229187494,0.2527955881654271,0.21021817708125057,0.2102181770812505
Loss Aversion,5,Mixed Frame,False,290,0.7697988979585457,0.25820444395587094,0.23020110204145428,0.23020110204145422
