model,family,dominance_language,truthful_intent,payment_rule_correct,second_price_mention,first_price_mention,opponent_modeling,probability_reasoning,expected_value_reasoning,shading_intent,overbid_intent,worst_case,safety_recognition,overpay_concern,zero_profit_fallacy,margin_language,conservative_language,aggressive_language,risk_language,n_traces
claude-3-5-haiku-20241022,baseline_spsb,0.0,0.08,0.1133,0.5067,0.1867,0.08,0.4933,0.0333,0.54,0.2533,0.06,0.0,0.5933,0.0,0.5467,0.06,0.0267,0.52,150
claude-3-5-haiku-20241022,beliefs_C3,0.205,0.1,0.065,0.435,0.1467,0.3117,0.435,0.08,0.54,0.22,0.03,0.0,0.5633,0.0,0.485,0.035,0.0217,0.3667,600
claude-3-5-haiku-20241022,clock,0.0,0.0067,0.0,0.0,0.0,0.0133,0.0,0.0,0.0,0.0,0.2067,0.0,0.1933,0.08,0.0,0.0,0.0,0.3333,150
claude-3-5-haiku-20241022,clock_framing_B3,0.0,0.0067,0.0,0.0,0.0,0.0067,0.4933,0.0533,0.6333,0.22,0.0,0.0,0.64,0.0,0.7867,0.12,0.08,0.52,150
claude-3-5-haiku-20241022,contingent_C1,0.0626,0.2809,0.0711,0.6277,0.0829,0.198,0.3773,0.1134,0.4501,0.3012,0.1371,0.0,0.6548,0.0034,0.5042,0.0254,0.0423,0.5973,591
claude-3-5-haiku-20241022,loss_D,0.0035,0.1407,0.1336,0.5544,0.1253,0.1501,0.4149,0.039,0.4362,0.3487,0.0473,0.0,0.5733,0.0035,0.6052,0.0603,0.0473,0.5083,846
claude-3-5-haiku-20241022,menu_B1,0.0,0.0,0.0,0.0,0.0,0.1333,0.66,0.0133,0.0667,0.66,0.02,0.0,0.4267,0.0,0.7867,0.0133,0.1933,0.6667,150
claude-3-5-haiku-20241022,payoff_safety_B2,0.0,0.3267,0.06,0.48,0.0467,0.1067,0.3267,0.04,0.4733,0.24,0.0067,0.0,0.44,0.0,0.4933,0.06,0.0333,0.4667,150
claude-3-5-haiku-20241022,payoff_tree_C1,0.02,0.06,0.3067,0.6,0.42,0.0867,0.4467,0.04,0.84,0.0867,0.02,0.0,0.68,0.0,0.7533,0.0467,0.0467,0.2733,150
claude-3-5-haiku-20241022,planning_C2,0.0033,0.0067,0.03,0.0833,0.0,0.03,0.42,0.0267,0.56,0.32,0.0667,0.0,0.37,0.0,0.85,0.0433,0.0533,0.33,300
claude-3-5-haiku-20241022,risk_D,0.0,0.054,0.0376,0.2582,0.0211,0.0939,0.5822,0.0845,0.3756,0.2934,0.1737,0.0047,0.4742,0.0,0.5775,0.1127,0.3357,0.9014,426
gemini-2.0-flash,baseline_spsb,0.0067,0.0267,0.0,0.1,0.0,0.0467,0.2267,0.0267,0.88,0.0,0.08,0.0,0.2267,0.0,0.2933,0.1467,0.0533,0.0667,150
gemini-2.0-flash,beliefs_C3,0.0243,0.0799,0.0122,0.191,0.0052,0.1528,0.2986,0.0799,0.8351,0.0035,0.0399,0.0,0.2778,0.026,0.2257,0.099,0.0399,0.0677,576
gemini-2.0-flash,clock,0.0,0.0,0.0,0.0,0.0,0.0167,0.0833,0.0,0.0,0.0,0.0333,0.0,0.0167,0.0083,0.0417,0.0,0.0,0.2667,120
gemini-2.0-flash,clock_framing_B3,0.0,0.0444,0.0,0.0074,0.0,0.0296,0.3185,0.0593,0.8296,0.0,0.0222,0.0,0.3926,0.0,0.2593,0.2296,0.0519,0.0741,135
gemini-2.0-flash,contingent_C1,0.033,0.1927,0.0,0.0712,0.0,0.0174,0.3559,0.0573,0.9375,0.0243,0.0694,0.0,0.3264,0.0191,0.1753,0.1233,0.033,0.1198,576
gemini-2.0-flash,loss_D,0.0058,0.0347,0.0012,0.1146,0.0,0.0197,0.4074,0.1655,0.9525,0.0058,0.0382,0.0,0.3403,0.0197,0.2766,0.1644,0.0475,0.1829,864
gemini-2.0-flash,menu_B1,0.0,0.0,0.0,0.0,0.0,0.0544,0.1973,0.0,0.9592,0.0,0.1429,0.0,0.2109,0.034,0.1837,0.1565,0.0204,0.0544,147
gemini-2.0-flash,payoff_safety_B2,0.0,0.12,0.0133,0.1733,0.0,0.0,0.2933,0.0467,0.8867,0.04,0.06,0.0,0.3067,0.06,0.3333,0.18,0.0133,0.12,150
gemini-2.0-flash,payoff_tree_C1,0.0,0.0133,0.0,0.0733,0.0,0.0333,0.32,0.1067,0.9267,0.0267,0.0933,0.0,0.48,0.0,0.2933,0.4933,0.0133,0.2333,150
gemini-2.0-flash,planning_C2,0.0,0.2867,0.0167,0.1467,0.0,0.0133,0.1867,0.08,0.7,0.0433,0.0433,0.0,0.33,0.01,0.11,0.16,0.1033,0.18,300
gemini-2.0-flash,risk_D,0.0,0.0068,0.0,0.0548,0.0,0.0297,0.5548,0.0868,0.6621,0.258,0.0548,0.0,0.3288,0.0,0.2443,0.274,0.1347,0.6963,438
google/gemma-3-27b-it,baseline_spsb,0.0,0.0,0.0,0.46,0.0,0.7333,0.18,0.0,0.04,0.02,0.0133,0.0,0.8933,0.0,0.1333,0.86,0.1733,0.2267,150
google/gemma-3-27b-it,beliefs_C3,0.0,0.1392,0.0017,0.579,0.0,0.5309,0.201,0.1426,0.1289,0.0842,0.0034,0.0,0.7268,0.0017,0.0653,0.6924,0.0997,0.2491,582
google/gemma-3-27b-it,clock,0.0,0.0,0.0,0.0,0.0,0.0833,0.2917,0.0,0.0,0.0,0.175,0.0,0.1167,0.3333,0.0167,0.0,0.0,0.725,120
google/gemma-3-27b-it,clock_framing_B3,0.0,0.0,0.0,0.0,0.0,0.1667,0.5972,0.0486,0.0486,0.4028,0.0069,0.0,0.9583,0.0,0.0556,0.75,0.0764,0.5208,144
google/gemma-3-27b-it,contingent_C1,0.1392,0.055,0.0017,0.4003,0.0,0.5189,0.2388,0.0567,0.0808,0.0601,0.1409,0.0,0.8746,0.0017,0.079,0.7904,0.1598,0.3162,582
google/gemma-3-27b-it,loss_D,0.0,0.0,0.0047,0.3689,0.0,0.4935,0.2349,0.0285,0.1163,0.0344,0.0059,0.0,0.8861,0.0,0.1103,0.7556,0.2195,0.1756,843
google/gemma-3-27b-it,menu_B1,0.0,0.0,0.0,0.0,0.0,0.1844,0.4326,0.0213,0.0638,0.2979,0.0284,0.0,0.9007,0.0,0.0142,0.8156,0.2837,0.2766,141
google/gemma-3-27b-it,payoff_safety_B2,0.0,0.0,0.0333,0.1933,0.0,0.3667,0.44,0.0867,0.1067,0.16,0.0133,0.0,0.9,0.0,0.0467,0.8,0.0867,0.2533,150
google/gemma-3-27b-it,payoff_tree_C1,0.0,0.0,0.0067,0.3867,0.0,0.3467,0.56,0.0733,0.28,0.2933,0.0133,0.0,0.7667,0.0,0.0,0.7667,0.02,0.3533,150
google/gemma-3-27b-it,planning_C2,0.0,0.0133,0.01,0.0567,0.0,0.2867,0.47,0.0133,0.0533,0.4767,0.01,0.0,0.85,0.0,0.0333,0.7667,0.1267,0.2533,300
google/gemma-3-27b-it,risk_D,0.0,0.0,0.0023,0.4167,0.0,0.75,0.4306,0.0833,0.1181,0.0995,0.0162,0.0,0.7037,0.0,0.1204,0.6343,0.5833,0.8819,432
gpt-4o,baseline_spsb,0.0,0.02,0.0933,0.3933,0.0,0.2,0.38,0.02,0.6133,0.0267,0.0267,0.0,0.4533,0.0133,0.3067,0.1267,0.02,0.3267,150
