period_id,turn_id,current_price,reserve_price,agent_selected,action,bid,max_bids,highest_bidder
0,0,0,30,Bidder Betty,bid,1.0,"{'Bidder Andy': 0, 'Bidder Betty': 1.0, 'Bidder Charles': 0}",Bidder Betty
0,1,2.0,30,Bidder Andy,bid,40.0,"{'Bidder Andy': 40.0, 'Bidder Betty': 1.0, 'Bidder Charles': 0}",Bidder Andy
0,2,11.0,30,Bidder Charles,bid,10.0,"{'Bidder Andy': 40.0, 'Bidder Betty': 1.0, 'Bidder Charles': 10.0}",Bidder Andy
1,0,16.0,30,Bidder Charles,bid,15.0,"{'Bidder Andy': 40.0, 'Bidder Betty': 1.0, 'Bidder Charles': 15.0}",Bidder Andy
1,1,16.0,30,Bidder Andy,hold,0.0,"{'Bidder Andy': 40.0, 'Bidder Betty': 1.0, 'Bidder Charles': 15.0}",Bidder Andy
1,2,18.0,30,Bidder Betty,bid,17.0,"{'Bidder Andy': 40.0, 'Bidder Betty': 17.0, 'Bidder Charles': 15.0}",Bidder Andy
2,0,26.0,30,Bidder Charles,bid,25.0,"{'Bidder Andy': 40.0, 'Bidder Betty': 17.0, 'Bidder Charles': 25.0}",Bidder Andy
2,1,28.0,30,Bidder Betty,bid,27.0,"{'Bidder Andy': 40.0, 'Bidder Betty': 27.0, 'Bidder Charles': 25.0}",Bidder Andy
2,2,28.0,30,Bidder Andy,bid,43.0,"{'Bidder Andy': 43.0, 'Bidder Betty': 27.0, 'Bidder Charles': 25.0}",Bidder Andy
3,0,28.0,30,Bidder Andy,hold,0.0,"{'Bidder Andy': 43.0, 'Bidder Betty': 27.0, 'Bidder Charles': 25.0}",Bidder Andy
3,1,31.0,30,Bidder Charles,bid,30.0,"{'Bidder Andy': 43.0, 'Bidder Betty': 27.0, 'Bidder Charles': 30.0}",Bidder Andy
3,2,36.0,30,Bidder Betty,bid,35.0,"{'Bidder Andy': 43.0, 'Bidder Betty': 35.0, 'Bidder Charles': 30.0}",Bidder Andy
4,0,41.0,30,Bidder Betty,bid,40.0,"{'Bidder Andy': 43.0, 'Bidder Betty': 40.0, 'Bidder Charles': 30.0}",Bidder Andy
4,1,41.0,30,Bidder Andy,hold,0.0,"{'Bidder Andy': 43.0, 'Bidder Betty': 40.0, 'Bidder Charles': 30.0}",Bidder Andy
4,2,44.0,30,Bidder Charles,bid,45.0,"{'Bidder Andy': 43.0, 'Bidder Betty': 40.0, 'Bidder Charles': 45.0}",Bidder Charles
5,0,44.0,30,Bidder Charles,bid,50.0,"{'Bidder Andy': 43.0, 'Bidder Betty': 40.0, 'Bidder Charles': 50.0}",Bidder Charles
5,1,44.0,30,Bidder Andy,hold,0.0,"{'Bidder Andy': 43.0, 'Bidder Betty': 40.0, 'Bidder Charles': 50.0}",Bidder Charles
5,2,44.0,30,Bidder Betty,hold,0.0,"{'Bidder Andy': 43.0, 'Bidder Betty': 40.0, 'Bidder Charles': 50.0}",Bidder Charles
6,0,44.0,30,Bidder Betty,hold,0.0,"{'Bidder Andy': 43.0, 'Bidder Betty': 40.0, 'Bidder Charles': 50.0}",Bidder Charles
6,1,44.0,30,Bidder Andy,hold,0.0,"{'Bidder Andy': 43.0, 'Bidder Betty': 40.0, 'Bidder Charles': 50.0}",Bidder Charles
6,2,44.0,30,Bidder Charles,bid,55.0,"{'Bidder Andy': 43.0, 'Bidder Betty': 40.0, 'Bidder Charles': 55.0}",Bidder Charles
7,0,44.0,30,Bidder Betty,hold,0.0,"{'Bidder Andy': 43.0, 'Bidder Betty': 40.0, 'Bidder Charles': 55.0}",Bidder Charles
7,1,44.0,30,Bidder Charles,bid,70.0,"{'Bidder Andy': 43.0, 'Bidder Betty': 40.0, 'Bidder Charles': 70.0}",Bidder Charles
7,2,44.0,30,Bidder Andy,hold,0.0,"{'Bidder Andy': 43.0, 'Bidder Betty': 40.0, 'Bidder Charles': 70.0}",Bidder Charles
8,0,44.0,30,Bidder Charles,bid,75.0,"{'Bidder Andy': 43.0, 'Bidder Betty': 40.0, 'Bidder Charles': 75.0}",Bidder Charles
8,1,44.0,30,Bidder Betty,hold,0.0,"{'Bidder Andy': 43.0, 'Bidder Betty': 40.0, 'Bidder Charles': 75.0}",Bidder Charles
8,2,44.0,30,Bidder Andy,hold,0.0,"{'Bidder Andy': 43.0, 'Bidder Betty': 40.0, 'Bidder Charles': 75.0}",Bidder Charles
9,0,44.0,30,Bidder Andy,hold,0.0,"{'Bidder Andy': 43.0, 'Bidder Betty': 40.0, 'Bidder Charles': 75.0}",Bidder Charles
9,1,44.0,30,Bidder Charles,bid,96.0,"{'Bidder Andy': 43.0, 'Bidder Betty': 40.0, 'Bidder Charles': 96.0}",Bidder Charles
9,2,44.0,30,Bidder Betty,hold,0.0,"{'Bidder Andy': 43.0, 'Bidder Betty': 40.0, 'Bidder Charles': 96.0}",Bidder Charles
