period_id,turn_id,current_price,agent_selected,action,bid,max_bids,highest_bidder
0,0,0,Bidder Betty,bid,1.0,"{'Bidder Andy': 0, 'Bidder Betty': 1.0, 'Bidder Charles': 0}",Bidder Betty
0,1,1.0,Bidder Andy,bid,1.0,"{'Bidder Andy': 1.0, 'Bidder Betty': 1.0, 'Bidder Charles': 0}",Bidder Andy
0,2,2.0,Bidder Charles,bid,2.0,"{'Bidder Andy': 1.0, 'Bidder Betty': 1.0, 'Bidder Charles': 2.0}",Bidder Charles
1,0,2.0,Bidder Charles,bid,3.0,"{'Bidder Andy': 1.0, 'Bidder Betty': 1.0, 'Bidder Charles': 3.0}",Bidder Charles
1,1,2.0,Bidder Andy,hold,0.0,"{'Bidder Andy': 1.0, 'Bidder Betty': 1.0, 'Bidder Charles': 3.0}",Bidder Charles
1,2,3.0,Bidder Betty,bid,3.0,"{'Bidder Andy': 1.0, 'Bidder Betty': 3.0, 'Bidder Charles': 3.0}",Bidder Betty
2,0,3.0,Bidder Charles,hold,0.0,"{'Bidder Andy': 1.0, 'Bidder Betty': 3.0, 'Bidder Charles': 3.0}",Bidder Betty
2,1,3.0,Bidder Betty,hold,0.0,"{'Bidder Andy': 1.0, 'Bidder Betty': 3.0, 'Bidder Charles': 3.0}",Bidder Betty
2,2,4.0,Bidder Andy,bid,4.0,"{'Bidder Andy': 4.0, 'Bidder Betty': 3.0, 'Bidder Charles': 3.0}",Bidder Andy
3,0,5.0,Bidder Betty,bid,5.0,"{'Bidder Andy': 4.0, 'Bidder Betty': 5.0, 'Bidder Charles': 3.0}",Bidder Betty
3,1,6.0,Bidder Charles,bid,6.0,"{'Bidder Andy': 4.0, 'Bidder Betty': 5.0, 'Bidder Charles': 6.0}",Bidder Charles
3,2,7.0,Bidder Andy,bid,7.0,"{'Bidder Andy': 7.0, 'Bidder Betty': 5.0, 'Bidder Charles': 6.0}",Bidder Andy
4,0,8.0,Bidder Betty,bid,8.0,"{'Bidder Andy': 7.0, 'Bidder Betty': 8.0, 'Bidder Charles': 6.0}",Bidder Betty
4,1,9.0,Bidder Andy,bid,10.0,"{'Bidder Andy': 10.0, 'Bidder Betty': 8.0, 'Bidder Charles': 6.0}",Bidder Andy
4,2,10.0,Bidder Charles,bid,10.0,"{'Bidder Andy': 10.0, 'Bidder Betty': 8.0, 'Bidder Charles': 10.0}",Bidder Andy
5,0,11.0,Bidder Andy,bid,11.0,"{'Bidder Andy': 11.0, 'Bidder Betty': 8.0, 'Bidder Charles': 10.0}",Bidder Andy
5,1,12.0,Bidder Betty,bid,12.0,"{'Bidder Andy': 11.0, 'Bidder Betty': 12.0, 'Bidder Charles': 10.0}",Bidder Betty
5,2,13.0,Bidder Charles,bid,15.0,"{'Bidder Andy': 11.0, 'Bidder Betty': 12.0, 'Bidder Charles': 15.0}",Bidder Charles
6,0,13.0,Bidder Charles,hold,0.0,"{'Bidder Andy': 11.0, 'Bidder Betty': 12.0, 'Bidder Charles': 15.0}",Bidder Charles
6,1,15.0,Bidder Betty,bid,15.0,"{'Bidder Andy': 11.0, 'Bidder Betty': 15.0, 'Bidder Charles': 15.0}",Bidder Betty
6,2,16.0,Bidder Andy,bid,16.0,"{'Bidder Andy': 16.0, 'Bidder Betty': 15.0, 'Bidder Charles': 15.0}",Bidder Andy
7,0,17.0,Bidder Betty,bid,17.0,"{'Bidder Andy': 16.0, 'Bidder Betty': 17.0, 'Bidder Charles': 15.0}",Bidder Betty
7,1,18.0,Bidder Charles,bid,20.0,"{'Bidder Andy': 16.0, 'Bidder Betty': 17.0, 'Bidder Charles': 20.0}",Bidder Charles
7,2,20.0,Bidder Andy,bid,19.0,"{'Bidder Andy': 19.0, 'Bidder Betty': 17.0, 'Bidder Charles': 20.0}",Bidder Charles
8,0,21.0,Bidder Betty,bid,21.0,"{'Bidder Andy': 19.0, 'Bidder Betty': 21.0, 'Bidder Charles': 20.0}",Bidder Betty
8,1,22.0,Bidder Andy,bid,22.0,"{'Bidder Andy': 22.0, 'Bidder Betty': 21.0, 'Bidder Charles': 20.0}",Bidder Andy
8,2,23.0,Bidder Charles,bid,23.0,"{'Bidder Andy': 22.0, 'Bidder Betty': 21.0, 'Bidder Charles': 23.0}",Bidder Charles
9,0,24.0,Bidder Andy,bid,24.0,"{'Bidder Andy': 24.0, 'Bidder Betty': 21.0, 'Bidder Charles': 23.0}",Bidder Andy
9,1,25.0,Bidder Charles,bid,25.0,"{'Bidder Andy': 24.0, 'Bidder Betty': 21.0, 'Bidder Charles': 25.0}",Bidder Charles
9,2,26.0,Bidder Betty,bid,26.0,"{'Bidder Andy': 24.0, 'Bidder Betty': 26.0, 'Bidder Charles': 25.0}",Bidder Betty
