period_id,turn_id,current_price,agent_selected,action,bid,max_bids,highest_bidder,exp_number
0,0,0.0,Bidder Andy,bid,1.0,"{'Bidder Andy': 1.0, 'Bidder Betty': 0, 'Bidder Charles': 0}",Bidder Andy,0
0,1,2.0,Bidder Charles,bid,10.0,"{'Bidder Andy': 1.0, 'Bidder Betty': 0, 'Bidder Charles': 10.0}",Bidder Charles,0
0,2,10.0,Bidder Betty,bid,10.0,"{'Bidder Andy': 1.0, 'Bidder Betty': 10.0, 'Bidder Charles': 10.0}",Bidder Betty,0
1,0,10.0,Bidder Betty,hold,0.0,"{'Bidder Andy': 1.0, 'Bidder Betty': 10.0, 'Bidder Charles': 10.0}",Bidder Betty,0
1,1,11.0,Bidder Charles,bid,15.0,"{'Bidder Andy': 1.0, 'Bidder Betty': 10.0, 'Bidder Charles': 15.0}",Bidder Charles,0
1,2,13.0,Bidder Andy,bid,12.0,"{'Bidder Andy': 12.0, 'Bidder Betty': 10.0, 'Bidder Charles': 15.0}",Bidder Charles,0
2,0,15.0,Bidder Andy,bid,14.0,"{'Bidder Andy': 14.0, 'Bidder Betty': 10.0, 'Bidder Charles': 15.0}",Bidder Charles,0
2,1,15.0,Bidder Charles,bid,17.0,"{'Bidder Andy': 14.0, 'Bidder Betty': 10.0, 'Bidder Charles': 17.0}",Bidder Charles,0
2,2,18.0,Bidder Betty,bid,20.0,"{'Bidder Andy': 14.0, 'Bidder Betty': 20.0, 'Bidder Charles': 17.0}",Bidder Betty,0
3,0,18.0,Bidder Betty,bid,25.0,"{'Bidder Andy': 14.0, 'Bidder Betty': 25.0, 'Bidder Charles': 17.0}",Bidder Betty,0
3,1,20.0,Bidder Andy,bid,19.0,"{'Bidder Andy': 19.0, 'Bidder Betty': 25.0, 'Bidder Charles': 17.0}",Bidder Betty,0
3,2,22.0,Bidder Charles,bid,21.0,"{'Bidder Andy': 19.0, 'Bidder Betty': 25.0, 'Bidder Charles': 21.0}",Bidder Betty,0
4,0,24.0,Bidder Andy,bid,23.0,"{'Bidder Andy': 23.0, 'Bidder Betty': 25.0, 'Bidder Charles': 21.0}",Bidder Betty,0
4,1,25.0,Bidder Charles,bid,25.0,"{'Bidder Andy': 23.0, 'Bidder Betty': 25.0, 'Bidder Charles': 25.0}",Bidder Betty,0
4,2,26.0,Bidder Betty,bid,30.0,"{'Bidder Andy': 23.0, 'Bidder Betty': 30.0, 'Bidder Charles': 25.0}",Bidder Betty,0
5,0,30.0,Bidder Charles,bid,30.0,"{'Bidder Andy': 23.0, 'Bidder Betty': 30.0, 'Bidder Charles': 30.0}",Bidder Betty,0
5,1,31.0,Bidder Betty,bid,35.0,"{'Bidder Andy': 23.0, 'Bidder Betty': 35.0, 'Bidder Charles': 30.0}",Bidder Betty,0
5,2,33.0,Bidder Andy,bid,32.0,"{'Bidder Andy': 32.0, 'Bidder Betty': 35.0, 'Bidder Charles': 30.0}",Bidder Betty,0
6,0,35.0,Bidder Charles,bid,35.0,"{'Bidder Andy': 32.0, 'Bidder Betty': 35.0, 'Bidder Charles': 35.0}",Bidder Betty,0
6,1,36.0,Bidder Betty,bid,40.0,"{'Bidder Andy': 32.0, 'Bidder Betty': 40.0, 'Bidder Charles': 35.0}",Bidder Betty,0
6,2,39.0,Bidder Andy,bid,38.0,"{'Bidder Andy': 38.0, 'Bidder Betty': 40.0, 'Bidder Charles': 35.0}",Bidder Betty,0
7,0,39.0,Bidder Betty,bid,45.0,"{'Bidder Andy': 38.0, 'Bidder Betty': 45.0, 'Bidder Charles': 35.0}",Bidder Betty,0
7,1,43.0,Bidder Andy,bid,42.0,"{'Bidder Andy': 42.0, 'Bidder Betty': 45.0, 'Bidder Charles': 35.0}",Bidder Betty,0
7,2,45.0,Bidder Charles,bid,45.0,"{'Bidder Andy': 42.0, 'Bidder Betty': 45.0, 'Bidder Charles': 45.0}",Bidder Betty,0
8,0,46.0,Bidder Andy,bid,50.0,"{'Bidder Andy': 50.0, 'Bidder Betty': 45.0, 'Bidder Charles': 45.0}",Bidder Andy,0
8,1,50.0,Bidder Betty,bid,50.0,"{'Bidder Andy': 50.0, 'Bidder Betty': 50.0, 'Bidder Charles': 45.0}",Bidder Andy,0
8,2,51.0,Bidder Charles,bid,51.0,"{'Bidder Andy': 50.0, 'Bidder Betty': 50.0, 'Bidder Charles': 51.0}",Bidder Charles,0
9,0,52.0,Bidder Andy,bid,63.0,"{'Bidder Andy': 63.0, 'Bidder Betty': 50.0, 'Bidder Charles': 51.0}",Bidder Andy,0
9,1,62.0,Bidder Charles,bid,61.0,"{'Bidder Andy': 63.0, 'Bidder Betty': 50.0, 'Bidder Charles': 61.0}",Bidder Andy,0
9,2,64.0,Bidder Betty,bid,77.0,"{'Bidder Andy': 63.0, 'Bidder Betty': 77.0, 'Bidder Charles': 61.0}",Bidder Betty,0
0,0,0.0,Bidder Betty,bid,10.0,"{'Bidder Andy': 0, 'Bidder Betty': 10.0, 'Bidder Charles': 0}",Bidder Betty,1
0,1,2.0,Bidder Andy,bid,1.0,"{'Bidder Andy': 1.0, 'Bidder Betty': 10.0, 'Bidder Charles': 0}",Bidder Betty,1
0,2,4.0,Bidder Charles,bid,3.0,"{'Bidder Andy': 1.0, 'Bidder Betty': 10.0, 'Bidder Charles': 3.0}",Bidder Betty,1
1,0,6.0,Bidder Andy,bid,5.0,"{'Bidder Andy': 5.0, 'Bidder Betty': 10.0, 'Bidder Charles': 3.0}",Bidder Betty,1
1,1,8.0,Bidder Charles,bid,7.0,"{'Bidder Andy': 5.0, 'Bidder Betty': 10.0, 'Bidder Charles': 7.0}",Bidder Betty,1
1,2,8.0,Bidder Betty,hold,0.0,"{'Bidder Andy': 5.0, 'Bidder Betty': 10.0, 'Bidder Charles': 7.0}",Bidder Betty,1
2,0,8.0,Bidder Betty,bid,12.0,"{'Bidder Andy': 5.0, 'Bidder Betty': 12.0, 'Bidder Charles': 7.0}",Bidder Betty,1
2,1,10.0,Bidder Charles,bid,9.0,"{'Bidder Andy': 5.0, 'Bidder Betty': 12.0, 'Bidder Charles': 9.0}",Bidder Betty,1
2,2,12.0,Bidder Andy,bid,11.0,"{'Bidder Andy': 11.0, 'Bidder Betty': 12.0, 'Bidder Charles': 9.0}",Bidder Betty,1
3,0,12.0,Bidder Andy,hold,0.0,"{'Bidder Andy': 11.0, 'Bidder Betty': 12.0, 'Bidder Charles': 9.0}",Bidder Betty,1
3,1,12.0,Bidder Betty,bid,13.0,"{'Bidder Andy': 11.0, 'Bidder Betty': 13.0, 'Bidder Charles': 9.0}",Bidder Betty,1
3,2,13.0,Bidder Charles,bid,13.0,"{'Bidder Andy': 11.0, 'Bidder Betty': 13.0, 'Bidder Charles': 13.0}",Bidder Betty,1
4,0,13.0,Bidder Charles,hold,0.0,"{'Bidder Andy': 11.0, 'Bidder Betty': 13.0, 'Bidder Charles': 13.0}",Bidder Betty,1
