Auction,Source,Underbid,Equalbid,Overbid,N
First-Price IPV,Human,92.1,7.5,0.4,
Second-Price IPV,Human,5.7,27.0,67.2,
Third-Price IPV,Human,4.2,6.1,89.8,
AC-B,Human,16.0,44.0,40.0,
Second-Price APV,Human,10.0,50.0,40.0,
Ascending Clock APV,Human,15.0,67.0,18.0,
,Human,,,,
,Human,,,,
First-Price IPV,LLM,13.684210526315791,3.1578947368421053,83.15789473684211,285.0
Second-Price IPV,LLM,74.07407407407408,9.25925925925926,16.666666666666664,270.0
Third-Price IPV,LLM,96.52777777777779,2.430555555555556,1.0416666666666665,288.0
Second-Price APV,LLM,93.12714776632302,0.0,6.872852233676976,291.0
Ascending Clock APV,LLM,0.0,100.0,0.0,106.0
AC-Closed (AC-B) APV,LLM,0.0,100.0,0.0,114.0
