round,player_name,player_value,bid,is_winner,final_price,profit,experiment_name,version,model,service_name,temperature,number_agents,total_rounds,seal_clock,price_order,private_value,increment,seed_base,special_name,timestamp,repetition_id,plan
0,Bidder Andy,20,20.0,False,29.0,0,axis3_beliefs_baseline,V12,anthropic/claude-sonnet-5,open_router,0.5,3,1,seal,second,private,0.1,1299,axis3_beliefs_baseline.txt,2026-07-09_12-40-45-406379,12-40-45-413346,"This is a second-price sealed-bid auction (Vickrey auction) with 3 bidders. In such auctions, bidding your true value is a dominant strategy regardless of what others do - you can't benefit from bidding higher (you might overpay) or lower (you might lose auctions you'd profit from). Since my value is $20, I should bid exactly $20 to maximize expected profit."
0,Bidder Betty,29,29.0,False,29.0,0,axis3_beliefs_baseline,V12,anthropic/claude-sonnet-5,open_router,0.5,3,1,seal,second,private,0.1,1299,axis3_beliefs_baseline.txt,2026-07-09_12-40-45-406379,12-40-45-413346,"In a second-price auction (winner pays second-highest bid), bidding your true value is a weakly dominant strategy. This holds regardless of the number of bidders or their strategies, since your bid only affects whether you win, not what you pay if you win. Bidding above value risks winning and overpaying; bidding below value risks losing profitable opportunities. Therefore, the optimal strategy is to bid exactly my private value of $29."
0,Bidder Charles,45,45.0,True,29.0,16.0,axis3_beliefs_baseline,V12,anthropic/claude-sonnet-5,open_router,0.5,3,1,seal,second,private,0.1,1299,axis3_beliefs_baseline.txt,2026-07-09_12-40-45-406379,12-40-45-413346,"In a second-price auction, bidding your true value is a dominant strategy: you win whenever your value exceeds the second-highest bid, and you pay only that second-highest bid, never more than your value. This guarantees non-negative profit whenever you win and avoids overpaying. With a value of $45, I should bid exactly $45 to maximize expected profit, regardless of what Andy and Betty do."
0,Bidder Andy,23,23.0,False,23.0,0,axis3_beliefs_baseline,V12,anthropic/claude-sonnet-5,open_router,0.5,3,1,seal,second,private,0.1,1299,axis3_beliefs_baseline.txt,2026-07-09_12-40-45-406379,12-40-51-577413,"In a second-price sealed-bid auction, bidding your true value is a dominant strategy: you win whenever your value exceeds the second-highest bid, paying exactly that amount, which always yields non-negative profit and maximizes expected earnings regardless of others' strategies. Since my value is $23, I will bid exactly $23, ensuring I capture the item whenever profitable while avoiding overpaying."
0,Bidder Betty,18,18.0,False,23.0,0,axis3_beliefs_baseline,V12,anthropic/claude-sonnet-5,open_router,0.5,3,1,seal,second,private,0.1,1299,axis3_beliefs_baseline.txt,2026-07-09_12-40-45-406379,12-40-51-577413,"In a second-price auction, bidding one's true value is the dominant strategy regardless of the number of competitors or their strategies. This is because the payment depends on the second-highest bid, not your own bid, so overbidding risks paying more than the item is worth, while underbidding risks losing profitable opportunities. With a private value of $18, the optimal strategy is to bid exactly $18, ensuring I win whenever profitable and pay less than my value when I do win."
0,Bidder Charles,25,25.0,True,23.0,2.0,axis3_beliefs_baseline,V12,anthropic/claude-sonnet-5,open_router,0.5,3,1,seal,second,private,0.1,1299,axis3_beliefs_baseline.txt,2026-07-09_12-40-45-406379,12-40-51-577413,"In a second-price auction, bidding your true value is a dominant strategy regardless of what other rational bidders do. This is because if you win, you pay the second-highest bid (not your own bid), so bidding higher than value risks overpaying, while bidding lower risks losing profitable wins. My value is $25, so I should bid exactly $25 to maximize expected profit."
0,Bidder Andy,27,27.0,False,27.0,0,axis3_beliefs_baseline,V12,anthropic/claude-sonnet-5,open_router,0.5,3,1,seal,second,private,0.1,1299,axis3_beliefs_baseline.txt,2026-07-09_12-40-45-406379,12-40-56-947523,"In a second-price auction (highest bidder wins, pays second-highest bid), truthful bidding is the dominant strategy regardless of competitors' strategies. This holds true whether opponents are truthful, aggressive, or use any other strategy - bidding my true value maximizes my expected profit. My value is $27, so I will bid exactly $27. This ensures I only win when the prize is worth more to me than what I'll pay, and I capture full available surplus when I do win."
0,Bidder Betty,31,31.0,True,27.0,4.0,axis3_beliefs_baseline,V12,anthropic/claude-sonnet-5,open_router,0.5,3,1,seal,second,private,0.1,1299,axis3_beliefs_baseline.txt,2026-07-09_12-40-45-406379,12-40-56-947523,"This is a second-price auction (winner pays the second-highest bid), which is strategically equivalent to a Vickrey auction. In such auctions, the dominant strategy is to bid exactly your true value, regardless of what others do. Bidding higher risks paying more than the item is worth if I win with a high second-highest bid; bidding lower risks losing auctions I could have profitably won. With my value at $31, I should bid $31 to maximize expected profit."
0,Bidder Charles,20,20.0,False,27.0,0,axis3_beliefs_baseline,V12,anthropic/claude-sonnet-5,open_router,0.5,3,1,seal,second,private,0.1,1299,axis3_beliefs_baseline.txt,2026-07-09_12-40-45-406379,12-40-56-947523,"In a second-price auction, bidding your true value is a dominant strategy regardless of what others do, since you pay the second-highest bid, not your own bid. Bidding higher than value risks winning at a loss; bidding lower risks losing profitable wins. With value $20, I should bid exactly $20 to maximize expected profit."
0,Bidder Andy,30,30.0,False,30.0,0,axis3_beliefs_baseline,V12,anthropic/claude-sonnet-5,open_router,0.5,3,1,seal,second,private,0.1,1299,axis3_beliefs_baseline.txt,2026-07-09_12-40-45-406379,12-41-02-850376,"In a second-price sealed-bid auction, bidding your true value is a weakly dominant strategy regardless of what other bidders do. This is because you pay the second-highest bid if you win, not your own bid, so overbidding risks paying more than the item is worth, while underbidding risks losing profitable auctions. With my value at $30, I should bid exactly $30 to maximize expected profit."
0,Bidder Betty,7,7.0,False,30.0,0,axis3_beliefs_baseline,V12,anthropic/claude-sonnet-5,open_router,0.5,3,1,seal,second,private,0.1,1299,axis3_beliefs_baseline.txt,2026-07-09_12-40-45-406379,12-41-02-850376,"This is a second-price sealed-bid auction, where bidding your true value is the dominant strategy regardless of what other bidders do. If I win, I pay the second-highest bid, not my own bid, so there's no benefit to shading my bid down, and bidding above my value risks losses if I win at a price above my value. With a value of $7, the optimal strategy is to bid exactly $7 to ensure I only win when profitable and never overpay."
0,Bidder Charles,36,36.0,True,30.0,6.0,axis3_beliefs_baseline,V12,anthropic/claude-sonnet-5,open_router,0.5,3,1,seal,second,private,0.1,1299,axis3_beliefs_baseline.txt,2026-07-09_12-40-45-406379,12-41-02-850376,"This is a second-price sealed-bid auction with independent private values uniformly distributed on [0,49]. In such auctions, bidding one's true value is a dominant strategy: since the price paid depends only on the second-highest bid (not my own bid, given I win), overbidding risks paying more than my value, and underbidding risks losing profitable wins. Therefore, regardless of the other bidders' strategies, I should bid exactly my value of $36 to maximize expected profit."
0,Bidder Andy,23,23.0,False,23.0,0,axis3_beliefs_baseline,V12,anthropic/claude-sonnet-5,open_router,0.5,3,1,seal,second,private,0.1,1299,axis3_beliefs_baseline.txt,2026-07-09_12-40-45-406379,12-41-07-702325,"In a second-price sealed-bid auction, bidding your true value is a dominant strategy: you win whenever your value exceeds the second-highest bid, paying exactly that amount, which always yields non-negative profit and maximizes expected earnings regardless of others' strategies. Since my value is $23, I will bid exactly $23, ensuring I capture the item whenever profitable while avoiding overpaying."
