auction,model,model_key,smad,ci_lower,ci_upper,has_ci,se,n
First-Price IPV,Human,human,24.7639,24.7639,24.7639,False,0.0,0
Second-Price IPV,Human,human,5.646,5.646,5.646,False,0.0,0
Third-Price IPV,Human,human,7.6566,7.6566,7.6566,False,0.0,0
AC-Closed (AC-B) APV,Human,human,5.83,2.57,9.09,True,0.0,0
Second-Price APV,Human,human,9.31,6.91,11.7,True,0.0,0
Ascending Clock APV,Human,human,3.54,2.0,5.09,True,0.0,0
First-Price CV,Human,human,47.59,47.59,47.59,False,0.0,0
Second-Price CV,Human,human,18.23,18.23,18.23,False,0.0,0
AC-Closed (AC-B) APV,GPT-4o (temp=0.5),gpt4o,0.4736842105263157,0.3169067944584874,0.6304616265941441,True,0.0799884775856267,114
Ascending Clock APV,GPT-4o (temp=0.5),gpt4o,0.8113207547169812,0.6234799004193767,0.9991616090145856,True,0.0958371705600022,106
Second-Price IPV,GPT-4o (temp=0.5),gpt4o,8.685925925925927,7.361820502239762,10.010031349612092,True,0.6755639916766151,270
Second-Price APV,GPT-4o (temp=0.5),gpt4o,10.734020618556702,9.60127675638096,11.866764480732444,True,0.5779305419263991,291
First-Price CV,GPT-4o (temp=0.5),gpt4o,59.989583333333336,53.17801634205565,66.80115032461103,True,3.4752892812641263,96
Second-Price CV,GPT-4o (temp=0.5),gpt4o,40.60326086956522,34.946068147168745,46.26045359196169,True,2.886322817549223,92
First-Price IPV,GPT-4o (temp=0.5),gpt4o,27.551812865497077,25.46881805862372,29.63480767237043,True,1.0627524524864056,285
First-Price IPV,GPT-4o (temp=0.1),gpt4o_temp01,28.07111111111112,26.179672763904392,29.962549458317845,,0.9650195649013914,300
First-Price IPV,GPT-4o (temp=1.0),gpt4o_temp10,24.993041526374864,22.915796545610014,27.070286507139713,,1.059818867737168,297
Second-Price IPV,GPT-4o (temp=0.1),gpt4o_temp01,14.772789115646258,13.2804564100951,16.26512182119742,,0.7613942375261015,294
Second-Price IPV,GPT-4o (temp=1.0),gpt4o_temp10,12.888888888888891,11.274728006303137,14.503049771474645,,0.8235514707070173,297
Second-Price APV,GPT-4o (temp=0.1),gpt4o_temp01,12.871380471380473,11.829082971251045,13.9136779715099,,0.5317844388415441,297
Second-Price APV,GPT-4o (temp=1.0),gpt4o_temp10,12.749333333333334,11.597970317086256,13.900696349580413,,0.5874301103301416,300
Ascending Clock APV,GPT-4o (temp=1.0),gpt4o_temp10,1.0,0.6193995376834974,1.3806004623165027,,0.19418390934515437,52
AC-Closed (AC-B) APV,GPT-4o (temp=1.0),gpt4o_temp10,2.1500000000000146,-0.26616638499915357,4.566166384999183,,1.232737951530188,8
First-Price CV,GPT-4o (temp=0.1),gpt4o_temp01,39.0,30.701766453033514,47.298233546966486,,4.23379262600331,30
First-Price CV,GPT-4o (temp=1.0),gpt4o_temp10,42.91666666666667,31.53121247347854,54.3021208598548,,5.808905200606189,30
Second-Price CV,GPT-4o (temp=0.1),gpt4o_temp01,35.5125,30.13635641305034,40.88864358694967,,2.7429304015049305,100
Second-Price CV,GPT-4o (temp=1.0),gpt4o_temp10,33.53030303030303,28.315948331456905,38.744657729149154,,2.660385050431697,99
