Auction,Source,Underbid,Overbid,pct_removed,N,N_total,N_removed
First-Price IPV,Human,99.56756756756756,0.43243243243243246,7.5,,,
Second-Price IPV,Human,7.818930041152263,92.18106995884773,27.0,,,
,Human,4.468085106382979,95.53191489361701,6.1,,,
AC-Closed (AC-B) APV,Human,28.57142857142857,71.42857142857143,44.0,,,
Second-Price APV,Human,20.0,80.0,50.0,,,
Ascending Clock APV,Human,45.45454545454545,54.54545454545454,67.0,,,
,Human,,,,,,
,Human,,,,,,
First-Price IPV,LLM,14.130434782608695,85.86956521739131,3.1578947368421053,276.0,285.0,9.0
Second-Price IPV,LLM,81.63265306122449,18.367346938775512,9.25925925925926,245.0,270.0,25.0
Second-Price APV,LLM,93.12714776632302,6.872852233676976,0.0,291.0,291.0,0.0
Ascending Clock APV,LLM,39.53488372093023,60.46511627906976,59.43396226415094,43.0,106.0,63.0
AC-Closed (AC-B) APV,LLM,37.03703703703704,62.96296296296296,76.31578947368422,27.0,114.0,87.0
