source,family,group,model,experiment,env,seal_clock,price_order,number_agents,increment,seed_base,temperature,n_runs,n_bids,n_rows_dropped_nan_bid,mean_dev,sd_dev,se_dev,median_dev,mad,smad_pct,boot_ci_mean_lo,boot_ci_mean_hi,boot_ci_smad_lo,boot_ci_smad_hi,share_under,share_over,share_within_2pct,rne_benchmark,mean_dev_rne,mad_rne,smad_rne_pct,mean_dev_rne_capped,is_baseline,baseline_experiment,baseline_n,baseline_mean_dev,diff_mean_dev,welch_t,welch_p,mw_p,cohens_d,source_path,notes
es_v12_csv,es_v12,claude-3-5-haiku-20241022,claude-3-5-haiku-20241022,POOLED_axis_baseline,private,seal,second,,,,,,291,0,0.543299,3.03006,0.177626,0,2.02371,8.26005,0.202036,0.891813,7.19956,9.37664,,,,,,,,,True,,,,,,,,,,"pooled axis1+axis3 baselines (derived cell; axis2_forward_baseline excluded as a treated clock-exit description, see results/merged_ranking/_axis2_baseline_provenance.md)"
es_v12_csv,es_v12,claude-3-5-haiku-20241022,claude-3-5-haiku-20241022,POOLED_axis_baseline_legacy,private,seal,second,,,,,,441,0,0.482993,3.09283,0.147278,0,2.33605,9.53492,0.205884,0.778305,8.72784,10.4105,,,,,,,,,True,,,,,,,,,,LEGACY pooled axis1+axis2+axis3 baselines (contains the treated axis2 clock-exit cell; comparison only)
es_v12_csv,es_v12,claude-3-5-haiku-20241022,claude-3-5-haiku-20241022,ascending_clock_closed,private,clock,second,3,0.5,1399,0.5,1,150,0,-0.0533333,0.474683,0.0387577,0,0.353333,1.44218,-0.126667,0.0266667,1.22449,1.64626,0.18,0.146667,0.673333,,,,,,False,POOLED[axis1_contingent_baseline+axis3_beliefs_baseline],291,0.543299,-0.596632,-3.28172,0.00114686,0.199943,-0.24075,Engineering_simplicity/engineer_simplicity-main/results/all_experiments_combined_20260204_114522.csv,
es_v12_raw,es_v12,claude-3-5-haiku-20241022,claude-3-5-haiku-20241022,axis1_contingent_backward_induct,private,seal,second,3,0.1,1299,0.5,1,150,0,0.162,2.65756,0.216989,-0.75,2.35133,9.59728,-0.26145,0.604033,8.80272,10.3567,0.533333,0.433333,0.0333333,,,,,,False,axis1_contingent_baseline,141,0.97305,-0.81105,-2.39351,0.0173545,0.00783258,-0.282063,Engineering_simplicity/engineer_simplicity-main/experiment_logs/claude/axis1_contingent_backward_induct,
es_v12_csv,es_v12,claude-3-5-haiku-20241022,claude-3-5-haiku-20241022,axis1_contingent_baseline,private,seal,second,3,0.1,1299,0.5,1,141,0,0.97305,3.09047,0.260264,0.1,2.40426,9.81329,0.446684,1.51282,8.35982,11.3044,0.248227,0.496454,0.255319,,,,,,True,,,,,,,,,Engineering_simplicity/engineer_simplicity-main/results/all_experiments_combined_20260204_114522.csv,
es_v12_csv,es_v12,claude-3-5-haiku-20241022,claude-3-5-haiku-20241022,axis1_contingent_dominated,private,seal,second,3,0.1,1299,0.5,1,150,0,0.914,2.11209,0.172452,0,1.522,6.21224,0.569867,1.27008,5.06109,7.32789,0.193333,0.393333,0.413333,,,,,,False,axis1_contingent_baseline,141,0.97305,-0.0590496,-0.189132,0.850145,0.612784,-0.0224364,Engineering_simplicity/engineer_simplicity-main/results/all_experiments_combined_20260204_114522.csv,
es_v12_csv,es_v12,claude-3-5-haiku-20241022,claude-3-5-haiku-20241022,axis1_contingent_enumerate,private,seal,second,3,0.1,1299,0.5,1,150,0,-0.494667,2.22833,0.181943,-0.5,1.696,6.92245,-0.857333,-0.133267,5.97537,7.92381,0.546667,0.2,0.253333,,,,,,False,axis1_contingent_baseline,141,0.97305,-1.46772,-4.62194,6.05936e-06,1.20022e-07,-0.547487,Engineering_simplicity/engineer_simplicity-main/results/all_experiments_combined_20260204_114522.csv,
es_v12_raw,es_v12,claude-3-5-haiku-20241022,claude-3-5-haiku-20241022,axis1_contingent_onestep,private,seal,second,3,0.1,1299,0.5,1,126,0,0.18254,1.07533,0.0957979,0,0.626984,2.55912,0.00634921,0.366667,1.93384,3.22967,0.111111,0.246032,0.642857,,,,,,False,axis1_contingent_baseline,141,0.97305,-0.79051,-2.85038,0.00488578,0.0102472,-0.334313,Engineering_simplicity/engineer_simplicity-main/experiment_logs/claude/axis1_contingent_onestep,
es_v12_raw,es_v12,claude-3-5-haiku-20241022,claude-3-5-haiku-20241022,axis1_contingent_tree,private,seal,second,3,0.1,1299,0.5,1,150,0,-1.12733,1.56724,0.127964,-0.5,1.20733,4.92789,-1.3847,-0.889983,3.98905,5.94571,0.546667,0.0533333,0.4,,,,,,False,axis1_contingent_baseline,141,0.97305,-2.10038,-7.24217,8.79192e-12,8.5126e-13,-0.865218,Engineering_simplicity/engineer_simplicity-main/experiment_logs/claude/axis1_contingent_tree,
es_v12_csv,es_v12,claude-3-5-haiku-20241022,claude-3-5-haiku-20241022,axis1_contingent_worstcase,private,seal,second,3,0.1,1299,0.5,1,150,0,0.016,1.16378,0.0950219,0,0.774667,3.1619,-0.167333,0.204667,2.62027,3.76054,0.22,0.26,0.52,,,,,,False,axis1_contingent_baseline,141,0.97305,-0.95705,-3.45421,0.000690785,0.00142114,-0.414737,Engineering_simplicity/engineer_simplicity-main/results/all_experiments_combined_20260204_114522.csv,
